cik,year
0000721083,2008
0000721083,2009
0001408356,2013
0001408356,2014
0001408356,2015
0001707502,2016
0001707502,2017
0001707502,2018
0001707502,2019
0001707502,2020
0001707502,2021
0001707502,2022
0001171298,2008
0001171298,2009
0001171298,2010
0001171298,2011
0001171298,2012
0001314727,2016
0001314727,2017
0001314727,2018
0001314727,2019
0001314727,2020
0001314727,2021
0001314727,2022
0000718924,2008
0000718924,2009
0000718924,2010
0000718924,2011
0000718924,2012
0000718924,2013
0000718924,2014
0001609351,2015
0001609351,2016
0001609351,2017
0001609351,2018
0000092679,2010
0000092679,2011
0000092679,2012
0000092679,2013
0000092679,2014
0000092679,2015
0000092679,2016
0000092679,2017
0000092679,2018
0000789132,2008
0000789132,2009
0000789132,2010
0000789132,2011
0000789132,2012
0000789132,2013
0000789132,2014
0000789132,2015
0000789132,2016
0000831547,2008
0000831547,2009
0000831547,2010
0000831547,2011
0000831547,2012
0000831547,2013
0000831547,2014
0000831547,2015
0000831547,2016
0000831547,2017
0000831547,2018
0000831547,2019
0000831547,2020
0000831547,2021
0000831547,2022
0001487730,2008
0001487730,2009
0001487730,2010
0001487730,2011
0001487730,2012
0001487730,2013
0001487730,2014
0001487730,2015
0001487730,2016
0001487730,2017
0000109177,2011
0000109177,2012
0000109177,2013
0000109177,2014
0000109177,2015
0000109177,2016
0000109177,2017
0000109177,2018
0000109177,2019
0000109177,2020
0000109177,2021
0000109177,2022
0001701108,2015
0001701108,2016
0001701108,2017
0001701108,2018
0001701108,2019
0001701108,2020
0001701108,2021
0001701108,2022
0001364885,2014
0001364885,2015
0001364885,2016
0001364885,2017
0001364885,2018
0001364885,2019
0001364885,2020
0001773427,2018
0001773427,2019
0001773427,2020
0001773427,2021
0001773427,2022
0000718937,2008
0000718937,2009
0000718937,2010
0000718937,2011
0000718937,2012
0000718937,2013
0000718937,2014
0000718937,2016
0000718937,2017
0000718937,2018
0000718937,2019
0000718937,2020
0000718937,2021
0000718937,2022
0000093384,2010
0000093384,2011
0000093384,2012
0000310354,2018
0000310354,2019
0000310354,2020
0000310354,2021
0000310354,2022
0001002590,2017
0001002590,2018
0001002590,2019
0001002590,2020
0001002590,2021
0001022671,2007
0001022671,2008
0001022671,2009
0001022671,2010
0001022671,2011
0001022671,2012
0001022671,2013
0001022671,2014
0001022671,2015
0001022671,2016
0001022671,2017
0001022671,2018
0001022671,2019
0001022671,2020
0001022671,2021
0001264587,2015
0001264587,2016
0001264587,2017
0001264587,2018
0001264587,2019
0001289340,2020
0001289340,2021
0001289340,2022
0001043337,2012
0001043337,2013
0001043337,2014
0001043337,2015
0001043337,2016
0001043337,2017
0001043337,2018
0001051514,2016
0001051514,2017
0001051514,2018
0001051514,2019
0001051514,2020
0001051514,2021
0001051514,2022
0000933034,2016
0000933034,2017
0000933034,2018
0000933034,2019
0000933034,2020
0000933034,2021
0000933034,2022
0000310764,2012
0000310764,2013
0000310764,2014
0000310764,2015
0000310764,2016
0000310764,2017
0000310764,2018
0001365216,2008
0001365216,2009
0001365216,2010
0001365216,2011
0001365216,2012
0001365216,2013
0001365216,2014
0001365216,2015
0001365216,2016
0001514705,2010
0001514705,2011
0001514705,2012
0001514705,2013
0001514705,2014
0001514705,2015
0001514705,2016
0001375365,2011
0001375365,2012
0001375365,2013
0001375365,2014
0001375365,2015
0001375365,2016
0001375365,2017
0001375365,2018
0001375365,2019
0001375365,2020
0001375365,2021
0001375365,2022
0000730000,2009
0000730000,2010
0000730000,2011
0000730000,2012
0000730000,2013
0000350846,2009
0000350846,2010
0000350846,2011
0000350846,2012
0000350846,2013
0000350846,2014
0000350846,2015
0001718108,2018
0001718108,2019
0001718108,2020
0001718108,2021
0001718108,2022
0000836429,2008
0000836429,2009
0000836429,2010
0000836429,2011
0000836429,2012
0000836429,2013
0000836429,2014
0001347613,2008
0001347613,2009
0001347613,2010
0001347613,2011
0001347613,2012
0001347613,2013
0001347613,2015
0001347613,2016
0001347613,2017
0001293593,2009
0001293593,2010
0001293593,2011
0001293593,2012
0001293593,2013
0001293593,2014
0001293593,2015
0001395937,2015
0001395937,2016
0001395937,2017
0001395937,2018
0001395937,2019
0001395937,2020
0001395937,2021
0001395937,2022
0001609727,2016
0001609727,2017
0001609727,2018
0001556263,2015
0001556263,2016
0001556263,2017
0001556263,2018
0001556263,2019
0001556263,2020
0001556263,2021
0001556263,2022
0000945114,2018
0000945114,2019
0000945114,2020
0000945114,2021
0000945114,2022
0000277928,2009
0000277928,2010
0000277928,2011
0001491501,2009
0001491501,2010
0001491501,2011
0001491501,2012
0001455684,2014
0001455684,2015
0001455684,2016
0001455684,2017
0001455684,2018
0001116942,2008
0001116942,2009
0001116942,2010
0001116942,2011
0001116942,2012
0001116942,2013
0001116942,2014
0001116942,2015
0001116942,2016
0001116942,2017
0001116942,2018
0001116942,2019
0001116942,2020
0001116942,2021
0001116942,2022
0001438133,2016
0001438133,2017
0001438133,2018
0001438133,2019
0001438133,2020
0001438133,2021
0001438133,2022
0000096536,2008
0000096536,2009
0000096536,2010
0000096536,2011
0000096536,2012
0000096536,2013
0000096536,2014
0001094285,2010
0001094285,2011
0001094285,2012
0001094285,2013
0001094285,2014
0001094285,2015
0001094285,2016
0001094285,2017
0001094285,2018
0001094285,2019
0001094285,2020
0001094285,2021
0001094285,2022
0000096943,2012
0000096943,2013
0000096943,2014
0000096943,2015
0000096943,2016
0000096943,2017
0000096943,2018
0000915324,2009
0000915324,2010
0000915324,2011
0000915324,2012
0000731939,2007
0000731939,2008
0000731939,2009
0000731939,2010
0000034956,2013
0000034956,2014
0000034956,2015
0000034956,2016
0000034956,2017
0000034956,2018
0000034956,2019
0000034956,2020
0000034956,2021
0000034956,2022
0000097134,2009
0000097134,2010
0000097134,2011
0000097134,2012
0000097134,2013
0000097134,2014
0000097134,2015
0000097134,2016
0000097134,2017
0000097134,2018
0000097134,2019
0000097134,2020
0000097134,2021
0000097134,2022
0000097210,2008
0000097210,2009
0000097210,2010
0000097210,2011
0000097210,2012
0000097210,2013
0000097210,2014
0000097210,2015
0000097210,2016
0000097210,2017
0000097210,2018
0000097210,2019
0000097210,2020
0000097210,2021
0000097210,2022
0001491576,2013
0001491576,2014
0001491576,2015
0001491576,2016
0001491576,2017
0001289460,2008
0001289460,2009
0001289460,2010
0001289460,2011
0001289460,2012
0001289460,2013
0001289460,2014
0001289460,2015
0001289460,2016
0001289460,2017
0001289460,2018
0001289460,2019
0001289460,2020
0001289460,2021
0001001316,2014
0001001316,2015
