cik,year
0000704562,2018
0000704562,2019
0000704562,2020
0000704562,2021
0001506928,2018
0001506928,2019
0001506928,2020
0001506928,2021
0001506928,2022
0001113232,2012
0001113232,2013
0001113232,2014
0001113232,2015
0001113232,2016
0001113232,2017
0001113232,2018
0001579428,2014
0001579428,2015
0001579428,2016
0001579428,2017
0001579428,2018
0001579428,2019
0001579428,2020
0001579428,2021
0001579428,2022
0001278027,2016
0001278027,2017
0001278027,2018
0001278027,2019
0001278027,2020
0001278027,2021
0001278027,2022
0000840883,2008
0000840883,2009
0000840883,2010
0000840883,2011
0000840883,2012
0000840883,2013
0001486957,2011
0001486957,2012
0001486957,2013
0001486957,2014
0001486957,2015
0001486957,2016
0001486957,2017
0001486957,2018
0001486957,2019
0001486957,2020
0001486957,2021
0001486957,2022
0001630805,2014
0001630805,2015
0001630805,2016
0001630805,2017
0001630805,2018
0001630805,2019
0001630805,2020
0001630805,2021
0001630805,2022
0000009092,2015
0000009092,2016
0000009092,2017
0000009092,2018
0000009092,2019
0000009092,2020
0000009092,2021
0000009326,2014
0000009326,2015
0000009326,2016
0000009326,2017
0000009326,2018
0000009326,2019
0000009326,2020
0000009892,2007
0000009892,2008
0000009892,2009
0000009892,2010
0000009892,2011
0000009892,2012
0000009892,2013
0001634117,2016
0001634117,2017
0001634117,2018
0001230355,2008
0001230355,2009
0001230355,2010
0001230355,2011
0001230355,2012
0001230355,2013
0000729580,2008
0000729580,2009
0000729580,2010
0000729580,2011
0000729580,2012
0000729580,2013
0000729580,2014
0000729580,2015
0000729580,2016
0000729580,2017
0000729580,2018
0000729580,2019
0000729580,2020
0000729580,2021
0000729580,2022
0000913142,2006
0000913142,2007
0000913142,2008
0000913142,2009
0000913142,2010
0000913142,2011
0000913142,2012
0000913142,2013
0000913142,2014
0000913142,2015
0000913142,2016
0000913142,2017
0000913142,2018
0000913142,2019
0000913142,2020
0000913142,2021
0000913142,2022
0001358403,2015
0001358403,2016
0001358403,2017
0001358403,2018
0001358403,2019
0001358403,2020
0001358403,2021
0001358403,2022
0000011199,2007
0000011199,2008
0000011199,2009
0000011199,2010
0000011199,2011
0000011199,2015
0000011199,2016
0000011199,2017
0000011199,2018
0000863436,2008
0000863436,2009
0000863436,2010
0000863436,2011
0000863436,2012
0000863436,2013
0000863436,2014
0000935226,2009
0000935226,2010
0000935226,2011
0000935226,2012
0001655210,2016
0001655210,2017
0001655210,2018
0001655210,2019
0001655210,2020
0001655210,2021
0001156388,2011
0001156388,2012
0001156388,2013
0001156388,2014
0001156388,2015
0001156388,2016
0001156388,2017
0001156388,2018
0001726173,2009
0001726173,2010
0001726173,2011
0001726173,2012
0001726173,2013
0001726173,2014
0001726173,2015
0001726173,2016
0000882796,2008
0000882796,2009
0000882796,2010
0000882796,2011
0000882796,2012
0000882796,2013
0000882796,2014
0000882796,2015
0000882796,2016
0000882796,2017
0000882796,2018
0000882796,2019
0000882796,2020
0000882796,2021
0001019034,2018
0001019034,2019
0001019034,2020
0001019034,2021
0001019034,2022
0001103021,2012
0001103021,2013
0001103021,2014
0001103021,2015
0001103021,2016
0001103021,2017
0001103021,2018
0001103021,2019
0001103021,2020
0001103021,2021
0000834365,2013
0000834365,2014
0000834365,2015
0000834365,2016
0000834365,2017
0000834365,2018
0000834365,2019
0000834365,2020
0000834365,2021
0000875045,2006
0000875045,2007
0000875045,2008
0000875045,2009
0000875045,2010
0000842023,2013
0000842023,2014
0000842023,2015
0000842023,2016
0000842023,2017
0000842023,2018
0000842023,2019
0001411690,2018
0001411690,2019
0001411690,2020
0001411690,2021
0001411690,2022
0000875622,2013
0000875622,2014
0000875622,2015
0000875622,2016
0000875622,2017
0000875622,2018
0000875622,2019
0001664703,2020
0001664703,2021
0001664703,2022
0001293971,2013
0001293971,2014
0001293971,2015
0001293971,2016
0001293971,2017
0001293971,2018
0001293971,2019
0001597264,2015
0001597264,2016
0001597264,2017
0001597264,2018
0001597264,2019
0001597264,2020
0001597264,2021
